CNPJ_Fundo,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Highlight e Spotlight - Jardim Botafogo,,Solução de contenções gerou economia na obra.
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Aretê - Peninsula Norte,,
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Iluminato,Atraso no desmonte de rocha.,Atraso nas contenções e desmonte de rocha.
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Maison Laranjeiras,Pequeno atraso na concretagem dos blocos.,
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Icono Parque,Atraso na fase de fundações e na evolução dos serviços de acabamento.,Desembolso inferior em função do menor andamento físico.
01.235.622/0001-61,2020-03-31,1,Imóveis para venda em construção,Highline,Atraso devido às alterações na torre comercial por solicitações do proprietário e refazimento da laje do 23 andar da Torre 2.,Valor gasto maior devido a aumento de preço do aço e alguns ajustes de produto.
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Costa Mare,,
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Aretê - Toriba 1,,
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Tijuca All Ways,,
01.235.622/0001-61,2020-06-30,2,Imóveis para renda em construção,,,
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Icono Parque,Atraso na fase de fundações e na evolução dos serviços de acabamento.,Desembolso inferior em função do menor andamento físico.
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Iluminato,Atraso no desmonte de rocha.,Atraso nas contenções e desmonte de rocha.
01.235.622/0001-61,2020-06-30,2,Imóveis para venda em construção,Highline,Atraso devido às alterações na torre comercial por solicitações do proprietário e refazimento da laje do 23 andar da Torre 2.,Valor gasto maior devido a aumento de preço do aço e alguns ajustes de produto.
